,DATUM,JAHR,MONAT,KW,TAG,WOCHENTAG,START,ENDE,P1_START,P1_ENDE,P2_START,P2_ENDE,P3_START,P3_ENDE,ARBEITSZEIT_MIN,FEIERTAG,AENDERUNG_DATUM,AENDERUNG_USER
26,2012-01-27 00:00:00,2012,1,5,27,5,2012-01-27 06:00:00,2012-01-27 16:00:00,2012-01-27 09:00:00,2012-01-27 09:30:00,2012-01-27 12:00:00,2012-01-27 12:45:00,2012-01-27 15:00:00,2012-01-27 15:15:00,510,0,2012-02-02 10:00:00,AUTO
27,2012-01-28 00:00:00,2012,1,5,28,6,2012-01-28 00:00:00,2012-01-28 00:00:00,2012-01-28 00:00:00,2012-01-28 00:00:00,2012-01-28 00:00:00,2012-01-28 00:00:00,2012-01-28 00:00:00,2012-01-28 00:00:00,0,0,2012-02-02 10:00:00,AUTO
28,2012-01-29 00:00:00,2012,1,5,29,7,2012-01-29 00:00:00,2012-01-29 00:00:00,2012-01-29 00:00:00,2012-01-29 00:00:00,2012-01-29 00:00:00,2012-01-29 00:00:00,2012-01-29 00:00:00,2012-01-29 00:00:00,0,0,2012-02-02 10:00:00,AUTO
29,2012-01-30 00:00:00,2012,1,6,30,1,2012-01-30 06:00:00,2012-01-30 16:00:00,2012-01-30 09:00:00,2012-01-30 09:30:00,2012-01-30 12:00:00,2012-01-30 12:45:00,2012-01-30 15:00:00,2012-01-30 15:15:00,510,0,2012-02-02 10:00:00,AUTO
30,2012-01-31 00:00:00,2012,1,6,31,2,2012-01-31 06:00:00,2012-01-31 16:00:00,2012-01-31 09:00:00,2012-01-31 09:30:00,2012-01-31 12:00:00,2012-01-31 12:45:00,2012-01-31 15:00:00,2012-01-31 15:15:00,510,0,2012-02-02 10:00:00,AUTO
31,2012-02-01 00:00:00,2012,2,6,1,3,2012-02-01 06:00:00,2012-02-01 16:00:00,2012-02-01 09:00:00,2012-02-01 09:30:00,2012-02-01 12:00:00,2012-02-01 12:45:00,2012-02-01 15:00:00,2012-02-01 15:15:00,510,0,2012-02-02 10:00:00,AUTO
32,2012-02-02 00:00:00,2012,2,6,2,4,2012-02-02 06:00:00,2012-02-02 16:00:00,2012-02-02 09:00:00,2012-02-02 09:30:00,2012-02-02 12:00:00,2012-02-02 12:45:00,2012-02-02 15:00:00,2012-02-02 15:15:00,510,0,2012-02-02 10:00:00,AUTO
33,2012-02-03 00:00:00,2012,2,6,3,5,2012-02-03 06:00:00,2012-02-03 16:00:00,2012-02-03 09:00:00,2012-02-03 09:30:00,2012-02-03 12:00:00,2012-02-03 12:45:00,2012-02-03 15:00:00,2012-02-03 15:15:00,510,0,2012-02-02 10:00:00,AUTO
34,2012-02-04 00:00:00,2012,2,6,4,6,2012-02-04 00:00:00,2012-02-04 00:00:00,2012-02-04 00:00:00,2012-02-04 00:00:00,2012-02-04 00:00:00,2012-02-04 00:00:00,2012-02-04 00:00:00,2012-02-04 00:00:00,0,0,2012-02-02 10:00:00,AUTO
35,2012-02-05 00:00:00,2012,2,6,5,7,2012-02-05 00:00:00,2012-02-05 00:00:00,2012-02-05 00:00:00,2012-02-05 00:00:00,2012-02-05 00:00:00,2012-02-05 00:00:00,2012-02-05 00:00:00,2012-02-05 00:00:00,0,0,2012-02-02 10:00:00,AUTO
36,2012-02-06 00:00:00,2012,2,7,6,1,2012-02-06 06:00:00,2012-02-06 16:00:00,2012-02-06 09:00:00,2012-02-06 09:30:00,2012-02-06 12:00:00,2012-02-06 12:45:00,2012-02-06 15:00:00,2012-02-06 15:15:00,510,0,2012-02-02 10:00:00,AUTO
37,2012-02-07 00:00:00,2012,2,7,7,2,2012-02-07 07:30:00,2012-02-07 16:00:00,2012-02-07 09:00:00,2012-02-07 09:30:00,2012-02-07 12:00:00,2012-02-07 12:45:00,2012-02-07 15:00:00,2012-02-07 15:15:00,420,0,2012-02-07 15:32:42,GM
38,2012-02-08 00:00:00,2012,2,7,8,3,2012-02-08 07:00:00,2012-02-08 16:00:00,2012-02-08 09:00:00,2012-02-08 09:30:00,2012-02-08 12:00:00,2012-02-08 12:45:00,2012-02-08 15:00:00,2012-02-08 15:15:00,450,0,2012-02-08 09:04:41,GM
39,2012-02-09 00:00:00,2012,2,7,9,4,2012-02-09 07:00:00,2012-02-09 16:00:00,2012-02-09 09:00:00,2012-02-09 09:30:00,2012-02-09 12:00:00,2012-02-09 12:45:00,2012-02-09 15:00:00,2012-02-09 15:15:00,450,0,2012-02-08 09:04:41,GM
40,2012-02-10 00:00:00,2012,2,7,10,5,2012-02-10 06:00:00,2012-02-10 14:00:00,2012-02-10 09:00:00,2012-02-10 09:30:00,2012-02-10 12:00:00,2012-02-10 12:45:00,2012-02-10 00:00:00,2012-02-10 00:00:00,405,0,2012-02-08 10:27:50,GM
41,2012-02-11 00:00:00,2012,2,7,11,6,2012-02-11 00:00:00,2012-02-11 00:00:00,2012-02-11 00:00:00,2012-02-11 00:00:00,2012-02-11 00:00:00,2012-02-11 00:00:00,2012-02-11 00:00:00,2012-02-11 00:00:00,0,0,2012-02-08 09:04:41,GM
42,2012-02-12 00:00:00,2012,2,7,12,7,2012-02-12 00:00:00,2012-02-12 00:00:00,2012-02-12 00:00:00,2012-02-12 00:00:00,2012-02-12 00:00:00,2012-02-12 00:00:00,2012-02-12 00:00:00,2012-02-12 00:00:00,0,0,2012-02-08 09:04:41,GM
43,2012-02-13 00:00:00,2012,2,8,13,1,2012-02-13 07:00:00,2012-02-13 16:00:00,2012-02-13 09:00:00,2012-02-13 09:30:00,2012-02-13 12:00:00,2012-02-13 12:45:00,2012-02-13 15:00:00,2012-02-13 15:15:00,450,0,2012-02-08 09:04:41,GM
44,2012-02-14 00:00:00,2012,2,8,14,2,2012-02-14 07:00:00,2012-02-14 16:00:00,2012-02-14 09:00:00,2012-02-14 09:30:00,2012-02-14 12:00:00,2012-02-14 12:45:00,2012-02-14 15:00:00,2012-02-14 15:15:00,450,0,2012-02-08 09:04:41,GM
45,2012-02-15 00:00:00,2012,2,8,15,3,2012-02-15 07:00:00,2012-02-15 16:00:00,2012-02-15 09:00:00,2012-02-15 09:30:00,2012-02-15 12:00:00,2012-02-15 12:45:00,2012-02-15 15:00:00,2012-02-15 15:15:00,450,0,2012-02-15 16:49:34,GM
46,2012-02-16 00:00:00,2012,2,8,16,4,2012-02-16 07:00:00,2012-02-16 16:00:00,2012-02-16 09:00:00,2012-02-16 09:30:00,2012-02-16 12:00:00,2012-02-16 12:45:00,2012-02-16 15:00:00,2012-02-16 15:15:00,450,0,2012-02-15 16:49:34,GM
47,2012-02-17 00:00:00,2012,2,8,17,5,2012-02-17 06:00:00,2012-02-17 14:00:00,2012-02-17 09:00:00,2012-02-17 09:30:00,2012-02-17 12:00:00,2012-02-17 12:45:00,2012-02-17 00:00:00,2012-02-17 00:00:00,405,0,2012-02-15 16:49:34,GM
48,2012-02-18 00:00:00,2012,2,8,18,6,2012-02-18 00:00:00,2012-02-18 00:00:00,2012-02-18 00:00:00,2012-02-18 00:00:00,2012-02-18 00:00:00,2012-02-18 00:00:00,2012-02-18 00:00:00,2012-02-18 00:00:00,0,0,2012-02-15 16:49:34,GM
49,2012-02-19 00:00:00,2012,2,8,19,7,2012-02-19 00:00:00,2012-02-19 00:00:00,2012-02-19 00:00:00,2012-02-19 00:00:00,2012-02-19 00:00:00,2012-02-19 00:00:00,2012-02-19 00:00:00,2012-02-19 00:00:00,0,0,2012-02-15 16:49:34,GM
50,2012-02-20 00:00:00,2012,2,9,20,1,2012-02-20 07:00:00,2012-02-20 16:00:00,2012-02-20 09:00:00,2012-02-20 09:30:00,2012-02-20 12:00:00,2012-02-20 12:45:00,2012-02-20 15:00:00,2012-02-20 15:15:00,450,0,2012-02-15 16:49:34,GM
51,2012-02-21 00:00:00,2012,2,9,21,2,2012-02-21 07:00:00,2012-02-21 16:00:00,2012-02-21 09:00:00,2012-02-21 09:30:00,2012-02-21 12:00:00,2012-02-21 12:45:00,2012-02-21 15:00:00,2012-02-21 15:15:00,450,0,2012-02-15 16:49:34,GM
52,2012-02-22 00:00:00,2012,2,9,22,3,2012-02-22 07:00:00,2012-02-22 16:00:00,2012-02-22 09:00:00,2012-02-22 09:30:00,2012-02-22 12:00:00,2012-02-22 12:45:00,2012-02-22 15:00:00,2012-02-22 15:15:00,450,0,2012-02-15 16:49:34,GM
53,2012-02-23 00:00:00,2012,2,9,23,4,2012-02-23 07:00:00,2012-02-23 16:00:00,2012-02-23 09:00:00,2012-02-23 09:30:00,2012-02-23 12:00:00,2012-02-23 12:45:00,2012-02-23 15:00:00,2012-02-23 15:15:00,450,0,2012-02-15 16:49:34,GM
54,2012-02-24 00:00:00,2012,2,9,24,5,2012-02-24 06:00:00,2012-02-24 14:00:00,2012-02-24 09:00:00,2012-02-24 09:30:00,2012-02-24 12:00:00,2012-02-24 12:45:00,2012-02-24 00:00:00,2012-02-24 00:00:00,405,0,2012-02-15 16:49:34,GM
55,2012-02-25 00:00:00,2012,2,9,25,6,2012-02-25 00:00:00,2012-02-25 00:00:00,2012-02-25 00:00:00,2012-02-25 00:00:00,2012-02-25 00:00:00,2012-02-25 00:00:00,2012-02-25 00:00:00,2012-02-25 00:00:00,0,0,2012-02-15 16:49:34,GM
56,2012-02-26 00:00:00,2012,2,9,26,7,2012-02-26 00:00:00,2012-02-26 00:00:00,2012-02-26 00:00:00,2012-02-26 00:00:00,2012-02-26 00:00:00,2012-02-26 00:00:00,2012-02-26 00:00:00,2012-02-26 00:00:00,0,0,2012-02-15 16:49:34,GM
57,2012-02-27 00:00:00,2012,2,10,27,1,2012-02-27 07:00:00,2012-02-27 16:00:00,2012-02-27 09:00:00,2012-02-27 09:30:00,2012-02-27 12:00:00,2012-02-27 12:45:00,2012-02-27 15:00:00,2012-02-27 15:15:00,450,0,2012-02-15 16:49:34,GM
58,2012-02-28 00:00:00,2012,2,10,28,2,2012-02-28 07:00:00,2012-02-28 16:00:00,2012-02-28 09:00:00,2012-02-28 09:30:00,2012-02-28 12:00:00,2012-02-28 12:45:00,2012-02-28 15:00:00,2012-02-28 15:15:00,450,0,2012-02-15 16:49:34,GM
59,2012-02-29 00:00:00,2012,2,10,29,3,2012-02-29 07:00:00,2012-02-29 16:00:00,2012-02-29 09:00:00,2012-02-29 09:30:00,2012-02-29 12:00:00,2012-02-29 12:45:00,2012-02-29 15:00:00,2012-02-29 15:15:00,450,0,2012-02-15 16:49:35,GM
60,2012-03-01 00:00:00,2012,3,10,1,4,2012-03-01 07:00:00,2012-03-01 16:00:00,2012-03-01 09:00:00,2012-03-01 09:30:00,2012-03-01 12:00:00,2012-03-01 12:45:00,2012-03-01 15:00:00,2012-03-01 15:15:00,450,0,2012-02-15 16:49:35,GM
61,2012-03-02 00:00:00,2012,3,10,2,5,2012-03-02 06:00:00,2012-03-02 14:00:00,2012-03-02 09:00:00,2012-03-02 09:30:00,2012-03-02 12:00:00,2012-03-02 12:45:00,2012-03-02 00:00:00,2012-03-02 00:00:00,405,0,2012-02-15 16:49:35,GM
62,2012-03-03 00:00:00,2012,3,10,3,6,2012-03-03 00:00:00,2012-03-03 00:00:00,2012-03-03 00:00:00,2012-03-03 00:00:00,2012-03-03 00:00:00,2012-03-03 00:00:00,2012-03-03 00:00:00,2012-03-03 00:00:00,0,0,2012-02-15 16:49:35,GM
63,2012-03-04 00:00:00,2012,3,10,4,7,2012-03-04 00:00:00,2012-03-04 00:00:00,2012-03-04 00:00:00,2012-03-04 00:00:00,2012-03-04 00:00:00,2012-03-04 00:00:00,2012-03-04 00:00:00,2012-03-04 00:00:00,0,0,2012-02-15 16:49:35,GM
64,2012-03-05 00:00:00,2012,3,11,5,1,2012-03-05 07:00:00,2012-03-05 16:00:00,2012-03-05 09:00:00,2012-03-05 09:30:00,2012-03-05 12:00:00,2012-03-05 12:45:00,2012-03-05 15:00:00,2012-03-05 15:15:00,450,0,2012-02-15 16:49:35,GM
65,2012-03-06 00:00:00,2012,3,11,6,2,2012-03-06 07:00:00,2012-03-06 16:00:00,2012-03-06 09:00:00,2012-03-06 09:30:00,2012-03-06 12:00:00,2012-03-06 12:45:00,2012-03-06 15:00:00,2012-03-06 15:15:00,450,0,2012-02-15 16:49:35,GM
66,2012-03-07 00:00:00,2012,3,11,7,3,2012-03-07 07:00:00,2012-03-07 16:00:00,2012-03-07 09:00:00,2012-03-07 09:30:00,2012-03-07 12:00:00,2012-03-07 12:45:00,2012-03-07 15:00:00,2012-03-07 15:15:00,450,0,2012-02-15 16:49:35,GM
67,2012-03-08 00:00:00,2012,3,11,8,4,2012-03-08 07:00:00,2012-03-08 16:00:00,2012-03-08 09:00:00,2012-03-08 09:30:00,2012-03-08 12:00:00,2012-03-08 12:45:00,2012-03-08 15:00:00,2012-03-08 15:15:00,450,0,2012-02-15 16:49:35,GM
68,2012-03-09 00:00:00,2012,3,11,9,5,2012-03-09 06:00:00,2012-03-09 14:00:00,2012-03-09 09:00:00,2012-03-09 09:30:00,2012-03-09 12:00:00,2012-03-09 12:45:00,2012-03-09 00:00:00,2012-03-09 00:00:00,405,0,2012-02-15 16:49:35,GM
69,2012-03-10 00:00:00,2012,3,11,10,6,2012-03-10 00:00:00,2012-03-10 00:00:00,2012-03-10 00:00:00,2012-03-10 00:00:00,2012-03-10 00:00:00,2012-03-10 00:00:00,2012-03-10 00:00:00,2012-03-10 00:00:00,0,0,2012-02-15 16:49:35,GM
70,2012-03-11 00:00:00,2012,3,11,11,7,2012-03-11 00:00:00,2012-03-11 00:00:00,2012-03-11 00:00:00,2012-03-11 00:00:00,2012-03-11 00:00:00,2012-03-11 00:00:00,2012-03-11 00:00:00,2012-03-11 00:00:00,0,0,2012-02-15 16:49:35,GM
71,2012-03-12 00:00:00,2012,3,12,12,1,2012-03-12 07:00:00,2012-03-12 16:00:00,2012-03-12 09:00:00,2012-03-12 09:30:00,2012-03-12 12:00:00,2012-03-12 12:45:00,2012-03-12 15:00:00,2012-03-12 15:15:00,450,0,2012-02-15 16:49:35,GM
72,2012-03-13 00:00:00,2012,3,12,13,2,2012-03-13 07:00:00,2012-03-13 16:00:00,2012-03-13 09:00:00,2012-03-13 09:30:00,2012-03-13 12:00:00,2012-03-13 12:45:00,2012-03-13 15:00:00,2012-03-13 15:15:00,450,0,2012-02-15 16:49:35,GM
73,2012-03-14 00:00:00,2012,3,12,14,3,2012-03-14 07:00:00,2012-03-14 16:00:00,2012-03-14 09:00:00,2012-03-14 09:30:00,2012-03-14 12:00:00,2012-03-14 12:45:00,2012-03-14 15:00:00,2012-03-14 15:15:00,450,0,2012-02-15 16:49:35,GM
74,2012-03-15 00:00:00,2012,3,12,15,4,2012-03-15 07:00:00,2012-03-15 16:00:00,2012-03-15 09:00:00,2012-03-15 09:30:00,2012-03-15 12:00:00,2012-03-15 12:45:00,2012-03-15 15:00:00,2012-03-15 15:15:00,450,0,2012-02-15 16:49:35,GM
75,2012-03-16 00:00:00,2012,3,12,16,5,2012-03-16 06:00:00,2012-03-16 14:00:00,2012-03-16 09:00:00,2012-03-16 09:30:00,2012-03-16 12:00:00,2012-03-16 12:45:00,2012-03-16 00:00:00,2012-03-16 00:00:00,405,0,2012-02-15 16:49:35,GM
76,2012-03-17 00:00:00,2012,3,12,17,6,2012-03-17 00:00:00,2012-03-17 00:00:00,2012-03-17 00:00:00,2012-03-17 00:00:00,2012-03-17 00:00:00,2012-03-17 00:00:00,2012-03-17 00:00:00,2012-03-17 00:00:00,0,0,2012-02-15 16:49:35,GM
77,2012-03-18 00:00:00,2012,3,12,18,7,2012-03-18 00:00:00,2012-03-18 00:00:00,2012-03-18 00:00:00,2012-03-18 00:00:00,2012-03-18 00:00:00,2012-03-18 00:00:00,2012-03-18 00:00:00,2012-03-18 00:00:00,0,0,2012-02-15 16:49:35,GM
78,2012-03-19 00:00:00,2012,3,13,19,1,2012-03-19 07:00:00,2012-03-19 16:00:00,2012-03-19 09:00:00,2012-03-19 09:30:00,2012-03-19 12:00:00,2012-03-19 12:45:00,2012-03-19 15:00:00,2012-03-19 15:15:00,450,0,2012-02-15 16:49:35,GM
79,2012-03-20 00:00:00,2012,3,13,20,2,2012-03-20 07:00:00,2012-03-20 16:00:00,2012-03-20 09:00:00,2012-03-20 09:30:00,2012-03-20 12:00:00,2012-03-20 12:45:00,2012-03-20 15:00:00,2012-03-20 15:15:00,450,0,2012-02-15 16:49:35,GM
80,2012-03-21 00:00:00,2012,3,13,21,3,2012-03-21 07:00:00,2012-03-21 16:00:00,2012-03-21 09:00:00,2012-03-21 09:30:00,2012-03-21 12:00:00,2012-03-21 12:45:00,2012-03-21 15:00:00,2012-03-21 15:15:00,450,0,2012-02-15 16:49:35,GM
81,2012-03-22 00:00:00,2012,3,13,22,4,2012-03-22 07:00:00,2012-03-22 16:00:00,2012-03-22 09:00:00,2012-03-22 09:30:00,2012-03-22 12:00:00,2012-03-22 12:45:00,2012-03-22 15:00:00,2012-03-22 15:15:00,450,0,2012-02-15 16:49:35,GM
82,2012-03-23 00:00:00,2012,3,13,23,5,2012-03-23 06:00:00,2012-03-23 14:00:00,2012-03-23 09:00:00,2012-03-23 09:30:00,2012-03-23 12:00:00,2012-03-23 12:45:00,2012-03-23 00:00:00,2012-03-23 00:00:00,405,0,2012-02-15 16:49:35,GM
83,2012-03-24 00:00:00,2012,3,13,24,6,2012-03-24 00:00:00,2012-03-24 00:00:00,2012-03-24 00:00:00,2012-03-24 00:00:00,2012-03-24 00:00:00,2012-03-24 00:00:00,2012-03-24 00:00:00,2012-03-24 00:00:00,0,0,2012-02-15 16:49:35,GM
84,2012-03-25 00:00:00,2012,3,13,25,7,2012-03-25 00:00:00,2012-03-25 00:00:00,2012-03-25 00:00:00,2012-03-25 00:00:00,2012-03-25 00:00:00,2012-03-25 00:00:00,2012-03-25 00:00:00,2012-03-25 00:00:00,0,0,2012-02-15 16:49:35,GM
85,2012-03-26 00:00:00,2012,3,14,26,1,2012-03-26 07:00:00,2012-03-26 16:00:00,2012-03-26 09:00:00,2012-03-26 09:30:00,2012-03-26 12:00:00,2012-03-26 12:45:00,2012-03-26 15:00:00,2012-03-26 15:15:00,450,0,2012-02-15 16:49:35,GM
86,2012-03-27 00:00:00,2012,3,14,27,2,2012-03-27 07:00:00,2012-03-27 16:00:00,2012-03-27 09:00:00,2012-03-27 09:30:00,2012-03-27 12:00:00,2012-03-27 12:45:00,2012-03-27 15:00:00,2012-03-27 15:15:00,450,0,2012-02-15 16:49:35,GM
87,2012-03-28 00:00:00,2012,3,14,28,3,2012-03-28 07:00:00,2012-03-28 16:00:00,2012-03-28 09:00:00,2012-03-28 09:30:00,2012-03-28 12:00:00,2012-03-28 12:45:00,2012-03-28 15:00:00,2012-03-28 15:15:00,450,0,2012-02-15 16:49:35,GM
88,2012-03-29 00:00:00,2012,3,14,29,4,2012-03-29 07:00:00,2012-03-29 16:00:00,2012-03-29 09:00:00,2012-03-29 09:30:00,2012-03-29 12:00:00,2012-03-29 12:45:00,2012-03-29 15:00:00,2012-03-29 15:15:00,450,0,2012-02-15 16:49:35,GM
89,2012-03-30 00:00:00,2012,3,14,30,5,2012-03-30 06:00:00,2012-03-30 14:00:00,2012-03-30 09:00:00,2012-03-30 09:30:00,2012-03-30 12:00:00,2012-03-30 12:45:00,2012-03-30 00:00:00,2012-03-30 00:00:00,405,0,2012-02-15 16:49:35,GM
90,2012-03-31 00:00:00,2012,3,14,31,6,2012-03-31 00:00:00,2012-03-31 00:00:00,2012-03-31 00:00:00,2012-03-31 00:00:00,2012-03-31 00:00:00,2012-03-31 00:00:00,2012-03-31 00:00:00,2012-03-31 00:00:00,0,0,2012-02-15 16:49:35,GM
